x_Sanriku y_Sanriku ae_model_Sanriku an_model_Sanriku au_model_Sanriku ve_1998_model_Sanriku vn_1998_model_Sanriku vu_1998_model_Sanriku ve_2009_model_Sanriku vn_2009_model_Sanriku vu_2009_model_Sanriku
-2.3022634814764629e+02 -1.6256368680406126e+01 -3.2377166187028759e-02 -2.3450418970630903e-02 -2.3287640337716180e-04 1.2684580605814221e-03 5.0434306305180258e-04 1.5142818566194529e-04 9.1230923252410580e-04 2.4638845437486266e-04 1.4886654522479651e-04
-1.9994092175493762e+02 -3.7338010998272061e+01 -1.9344883982984777e-02 -1.3158272931886943e-02 -1.7745214535876284e-03 8.4598409199989721e-04 1.9663427105077357e-04 2.1045456705831805e-04 6.3319036818706466e-04 5.1893268800017210e-05 1.9093483106885414e-04
-2.0070171787087878e+02 -1.1332670225136271e+01 -3.1427015712951208e-02 -2.0808482453189527e-02 -2.4771552721169353e-03 1.2361054849047129e-03 3.8261271420578599e-04 2.5313132786625137e-04 8.9040831206224961e-04 1.5371940722070117e-04 2.2588261987296508e-04
-1.6780822175852137e+02 -6.9188016004665045e+01 -7.3068102688501665e-03 7.8900718274015275e-04 -1.7874864195907565e-03 4.4422319213867307e-04 -1.9928753787461025e-04 2.0313600676221251e-04 3.6384827918132124e-04 -1.9060845886446857e-04 1.8347365614671419e-04
-1.4259069364955369e+02 -8.3291079355313315e+01 -4.1704544964042307e-03 7.6065607735105048e-03 -1.2107894780486747e-03 3.3217013714817060e-04 -3.8949637440005737e-04 1.7084692397604498e-04 2.8629513768772407e-04 -3.0582420589144181e-04 1.5752823971750956e-04
-2.0285306269804093e+02 -8.1327198583967586e+01 -7.6294735440630970e-03 -4.6295871339684155e-03 -3.0341795623758949e-04 4.3863002436095696e-04 -2.0737867083692047e-06 1.3050124069496785e-04 3.5470581537626290e-04 -5.2999245182021772e-05 1.2716364317635437e-04
-1.2041254180388734e+02 -8.6624313507370758e+01 -3.6853730568964503e-03 1.1945809196372781e-02 -5.9940726161179087e-04 3.1412123917736015e-04 -5.0195380073018916e-04 1.4320406924332970e-04 2.7358213555149919e-04 -3.7054989957008858e-04 1.3661058936560001e-04
-2.5121394450234291e+02 -9.0392505044985967e+01 -1.0080844672445613e-02 -1.0230752670208490e-02 2.3347238202640784e-03 5.0327048201329646e-04 2.0143636070247143e-04 1.7137059387241912e-05 3.9238119061639471e-04 8.8898081330178040e-05 4.2819021410146772e-05
-1.5127573174757671e+02 -1.0923962144442760e+02 -1.8313129146345320e-03 7.2068477676593100e-03 -3.6363520773323183e-04 2.2947090501220760e-04 -3.5109933073600185e-04 1.2928238051105329e-04 2.0932646295122775e-04 -2.7182400529174945e-04 1.2528239322598774e-04
-2.6634222337336143e+02 -1.0888922003453320e+02 -8.0552450818696768e-03 -9.2138093076808130e-03 3.1914787773958567e-03 4.1897268391441066e-04 1.8994766162426442e-04 -2.1947110528415605e-05 3.3036498801384422e-04 8.8595759239775489e-05 1.3159156022938820e-05
-2.5405894254870242e+02 -1.1163863159820558e+02 -6.7332605776671403e-03 -7.7395437282274052e-03 2.6776939353946195e-03 3.7641700987680823e-04 1.4101847146299806e-04 -1.9109576691751796e-06 3.0235114352246970e-04 5.5883490452496602e-05 2.7543675620165635e-05
-1.2190852816807023e+02 -1.1423017053129422e+02 -1.6628082936426100e-03 1.1612152255434176e-02 4.4677495241991120e-05 2.2036779215893636e-04 -4.6577249035535819e-04 1.0894608768198541e-04 2.0207690092886765e-04 -3.3803881554558227e-04 1.0943754012964731e-04
-2.2152685684982728e+02 -1.1482925437710789e+02 -4.0231266366686693e-03 -3.4229196771707756e-03 1.3822471046989828e-03 2.8986457354921927e-04 -2.6859233312713415e-06 5.3414914900788884e-05 2.4561018054586391e-04 -4.0338039780149876e-05 6.8619633052477696e-05
-1.8740708299034375e+02 -1.3062825596945427e+02 -9.8833169435706453e-04 2.6469253157389459e-03 7.1461694154058969e-04 1.8138855150087789e-04 -1.9188601425973396e-04 8.3647222105368189e-05 1.7051690286295018e-04 -1.6276983578660556e-04 9.1508008462314676e-05
-1.6067920146087340e+02 -1.3528786739542426e+02 -3.6671103419057602e-04 6.3607537768545991e-03 5.0878465553086383e-04 1.5774450148471449e-04 -3.0608127900789598e-04 9.0284014260852243e-05 1.5371068010861815e-04 -2.3611298746249539e-04 9.5880645471691745e-05
-1.7438581665761723e+02 -1.6024455072856131e+02 4.8015324979691442e-04 4.9477499244599370e-03 1.2831874693256459e-03 1.1012490305831880e-04 -2.4770652623756534e-04 5.6267607824519180e-05 1.1540658880608486e-04 -1.9328127706850603e-04 7.0382669987101285e-05
-1.8557943937161605e+02 -1.8349660920664951e+02 9.4350398798890493e-04 3.8927555879944425e-03 1.8795783857574343e-03 7.8934094911554324e-05 -2.0249445057358075e-04 2.9182992394742544e-05 8.9312638779432278e-05 -1.5967413910564188e-04 4.9858354638074321e-05
-1.4413086783139619e+02 -1.6766934793248245e+02 4.2527256610323924e-04 7.7828224252501025e-03 1.3597621561333784e-03 1.0554120502234952e-04 -3.2727150453308850e-04 5.5140405541408232e-05 1.1021920324948515e-04 -2.4166045785533737e-04 7.0097789258875395e-05
